tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
01/01/2020 01:00:07 AM,01/01/2020 01:21:36 AM,1,3.32,N,164,231,15.5,0
01/01/2020 01:33:10 AM,01/01/2020 02:06:57 AM,1,5.9,N,161,226,25,0
01/01/2020 01:26:05 AM,01/01/2020 01:31:33 AM,1,0.97,N,68,234,6,0
01/01/2020 01:34:22 AM,01/02/2020 12:34:56 AM,1,0.77,N,263,141,5,0
01/01/2020 01:05:34 AM,01/01/2020 01:05:58 AM,1,0,N,61,61,2.5,0
01/01/2020 01:02:45 AM,01/01/2020 01:12:55 AM,1,0.51,N,48,48,7.5,0
01/01/2020 01:11:25 AM,01/01/2020 01:12:02 AM,1,0.02,N,164,164,2.5,0
01/01/2020 01:33:25 AM,01/01/2020 01:35:28 AM,1,0.17,N,79,79,3.5,0
01/01/2020 01:33:07 AM,01/01/2020 01:34:11 AM,1,0,N,4,4,3,0
01/01/2020 02:14:34 AM,01/01/2020 02:14:58 AM,2,0.06,N,161,161,2.5,0
01/01/2020 02:16:26 AM,01/01/2020 02:22:04 AM,1,0.71,N,161,100,23,0
01/01/2020 02:59:50 AM,01/01/2020 03:00:22 AM,5,0.05,N,107,107,2.5,0
01/01/2020 02:05:37 AM,01/01/2020 02:19:43 AM,1,1.9,N,224,68,10.5,2
01/01/2020 12:22:33 AM,01/01/2020 12:28:55 AM,2,1.2,N,263,43,6.5,2
